artist;song;duration_ms;year;tempo;genre;energy;key;loudness
JAY-Z;Empire State Of Mind;276920;2009;173.585;hip hop;0.956;11;-1.538
John Newman;Love Me Again;239894;2013;126.03;set();0.894;2;-4.814
Jason Derulo;It Girl;192200;2011;91.993;hip hop, pop;0.718;1;-4.736
Drake;Jumpman;205879;2015;142.079;hip hop, pop, R&B;0.553;1;-7.286
DB Boulevard;Point Of View - Radio Edit;231166;2018;129.006;Dance/Electronic;0.715;6;-6.854
Boys Like Girls;The Great Escape;206520;2007;149.934;pop;0.94;1;-4.012
Wheatus;Teenage Dirtbag;241666;1999;94.661;set();0.85;4;-3.904
Vengaboys;Shalala Lala;214819;2000;124.017;pop;0.901;2;-5.802
Bad Bunny;Callaita;250533;2019;176.169;latin;0.624;2;-4.773
Usher;Caught Up;224640;2004;110.086;hip hop, pop, R&B;0.806;6;-4.606
Travis Scott;SICKO MODE;312820;2018;155.008;hip hop, Dance/Electronic;0.73;8;-3.714
Lil' Kim;Magic Stick;359973;2019;92.98;hip hop, pop, R&B;0.498;2;-7.872
Donell Jones;"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)";243733;1999;103.032;pop, R&B;0.543;8;-6.166
Christina Aguilera;I Turn to You;273706;1999;127.177;pop;0.47;1;-8.356
Kanye West;All Falls Down;223506;2004;91.03;hip hop;0.734;8;-4.832
Ludacris;Stand Up;213760;2003;99.057;hip hop, pop;0.84;6;-4.855
Akon;Lonely;235800;2004;90.098;pop;0.532;5;-7.88
Trey Songz;Na Na;231906;2015;96.975;hip hop, pop, R&B;0.476;9;-6.253
Sting;Desert Rose;285960;1999;111.989;rock, pop;0.659;0;-7.92
Jennifer Lopez;All I Have (feat. LL Cool J);254466;2002;83.066;hip hop, pop, R&B;0.669;1;-5.265
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);244466;2019;195.685;pop;0.643;9;-7.486
Logic;Everyday;204746;2018;149.908;hip hop, pop;0.741;1;-4.099
Selena Gomez;The Heart Wants What It Wants;227373;2014;83.066;pop;0.789;7;-4.874
Tom Walker;Leave a Light On;185863;2017;68.976;rock, pop;0.624;5;-5.946
Amy Winehouse;Back To Black;241293;2006;122.728;R&B;0.422;7;-13.964
David Guetta;Gettin' Over You (feat. Fergie & LMFAO);188000;2010;129.944;hip hop, pop, Dance/Electronic;0.913;10;-5.077
Jessie J;Domino;231840;2011;126.986;hip hop, pop;0.557;7;-4.568
The Weeknd;Can't Feel My Face;213520;2015;107.949;pop, R&B;0.769;9;-5.526
Mike Posner;I Took A Pill In Ibiza - Seeb Remix;197933;2016;101.969;hip hop, pop, Dance/Electronic;0.714;7;-6.645
iann dior;emotions;131213;2019;80.512;hip hop, pop;0.63;9;-6.211
James Arthur;Impossible;209440;2013;169.533;pop;0.695;0;-4.782
Sia;The Greatest (feat. Kendrick Lamar);210226;2016;191.944;pop;0.725;1;-6.127
Drake;God's Plan;198973;2018;77.169;hip hop, pop, R&B;0.449;7;-9.211
Lady Gaga;Telephone;220640;2009;122.014;pop;0.836;3;-5.903
Soulja Boy;Crank That (Soulja Boy);221933;2007;140.141;hip hop, pop;0.74;0;-2.18
Girls Aloud;Love Machine;205360;2004;116.02;pop, Dance/Electronic;0.95;7;-4.21
G-Eazy;Me, Myself & I;251466;2015;111.995;hip hop, pop;0.674;0;-6.518
Taylor Swift;Cruel Summer;178426;2019;169.994;pop;0.702;9;-5.707
P!nk;Try;247906;2012;103.998;pop;0.628;2;-7.079
Tom Odell;Another Love;244360;2013;122.769;pop;0.537;4;-8.532
Linkin Park;What I've Done;205613;2007;120.119;rock, metal;0.93;5;-5.285
Gorillaz;DARE;244999;2005;120.264;hip hop;0.891;11;-5.852
ZHU;Faded;223386;2014;124.96;Dance/Electronic;0.475;9;-7.195
Foo Fighters;Best of You;255626;2005;130.198;rock, metal;0.94;1;-5.119
Gigi D'Agostino;L'Amour Toujours;238759;2011;139.066;pop;0.728;7;-7.932
Silentó;Watch Me (Whip / Nae Nae);185131;2015;139.982;hip hop;0.768;8;-8.522
Kanye West;Diamonds From Sierra Leone - Remix;233400;2005;97.043;hip hop;0.814;7;-3.768
